,pname,guest,cnt,ave,median,sum,
1,씨제이이앤엠(주),274758541,157,1750054.401,4.246685443,19.94668544,
2,롯데쇼핑㈜롯데엔터테인먼트,146805466,143,1026611.65,2.202886437,16.50288644,
3,유니버설픽쳐스인터내셔널 코리아(유),81682685,112,729309.6875,1.162677947,12.36267795,
4,(주)넥스트엔터테인먼트월드(NEW),136912062,94,1456511.298,2.044858744,11.44485874,
5,이십세기폭스코리아(주),95785840,76,1260340,1.387948142,8.987948142,
6,(주)쇼박스,161793003,51,3172411.824,2.442282897,7.542282897,
7,워너브러더스 코리아(주),104778274,65,1611973.446,1.531584609,8.031584609,
8,(주)팝엔터테인먼트,2468995,58,42568.87931,-0.102605133,5.697394867,
9,(주)박수엔터테인먼트,2900528,54,53713.48148,-0.095712241,5.304287759,
10,CGV아트하우스,18366237,48,382629.9375,0.151322077,4.951322077,
11,(주)영화사 빅,2575419,48,53654.5625,-0.100905219,4.699094781,
12,메가박스중앙(주)플러스엠,29616245,37,800439.0541,0.331018854,4.031018854,
13,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),46049230,31,1485459.032,0.593503506,3.693503506,
14,판씨네마(주),10461506,41,255158.6829,0.025059528,4.125059528,
15,(주)이수C&E,5983836,41,145947.2195,-0.046462453,4.053537547,
16,(주)나이너스엔터테인먼트,3609164,35,103118.9714,-0.084393174,3.415606826,
17,(주)리틀빅픽쳐스,7323777,33,221932.6364,-0.025059528,3.274940472,
18,월트디즈니컴퍼니코리아(주),50950594,17,2997093.765,0.671793167,2.371793167,
19,(주)영화사 진진,1279666,32,39989.5625,-0.121602328,3.078397672,
20,월트디즈니컴퍼니코리아 유한책임회사,48707657,17,2865156.294,0.635966655,2.335966655,
21,와이드 릴리즈(주),1095473,30,36515.76667,-0.124544449,2.875455551,
22,(주)엣나인필름,2114698,29,72920.62069,-0.108264332,2.791735668,
23,씨너스엔터테인먼트(주),4431642,27,164134.8889,-0.071255703,2.628744297,
24,(주)인벤트스톤,4778572,24,199107.1667,-0.065714178,2.334285822,
25,씨네그루(주)키다리이엔티,4691487,24,195478.625,-0.06710519,2.33289481,
26,그린나래미디어(주),916169,24,38173.70833,-0.127408478,2.272591522,
27,(주)마인스 엔터테인먼트,1821205,22,82782.04545,-0.112952306,2.087047694,
28,예지림엔터테인먼트,598908,19,31521.47368,-0.132476099,1.767523901,
29,(주)스톰픽쳐스코리아,590274,18,32793,-0.132614011,1.667385989,
30,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12087587,14,863399.0714,0.051032978,1.451032978,
34,한국소니픽쳐스릴리징브에나비스타영화㈜,19202399,9,2133599.889,0.164678122,1.064678122,
53,롯데컬처웍스(주)롯데엔터테인먼트,13086283,3,4362094.333,0.066985184,0.366985184,
,average,40569481.94,44.78125,,,,
,median,8892641.5,32.5,,,,
,sd,62605508.01,35.81963007,,,,
,,,,,,,8개로 나눠서 등급을 나누기
