,pname,guest,cnt,averageG,guest_N,cnt_N,averageG_N,totalsum,averagesum,Tot_Ave_cnt_sum,
1,씨제이이앤엠(주),274758541,157,1750054.401,8.636154088,6.724442986,1.224095954,15.36059707,7.94853894,16.58469303,1
2,롯데쇼핑㈜롯데엔터테인먼트,146805466,143,1026611.65,4.612141748,6.113129987,0.703048653,10.72527174,6.81617864,11.42832039,1
3,(주)쇼박스,161793003,51,3172411.824,5.083486683,2.095930281,2.248524626,7.179416965,4.344454907,9.42794159,1
4,(주)넥스트엔터테인먼트월드(NEW),136912062,94,1456511.298,4.301002842,3.973534492,1.012676541,8.274537334,4.986211033,9.287213875,1
15,유니버설픽쳐스인터내셔널 코리아(유),81682685,112,729309.6875,2.564087222,4.759508347,0.488921985,7.323595569,5.248430333,7.812517555,2
7,워너브러더스 코리아(주),104778274,65,1611973.446,3.290423304,2.70724328,1.124645502,5.997666584,3.831888782,7.122312086,2
14,이십세기폭스코리아(주),95785840,76,1260340,3.007619117,3.187560636,0.87138751,6.195179753,4.058948146,7.066567263,2
13,(주)키위미디어그룹,6879989,1,6879989,0.211607832,-0.087330428,4.918843845,0.124277404,4.831513417,5.043121249,3
6,월트디즈니컴퍼니코리아(주),50950594,17,2997093.765,1.597589829,0.611312999,2.122254784,2.208902828,2.733567783,4.331157612,3
5,월트디즈니컴퍼니코리아 유한책임회사,48707657,17,2865156.294,1.527051421,0.611312999,2.027229072,2.13836442,2.63854207,4.165593492,3
8,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),46049230,31,1485459.032,1.443446216,1.222625997,1.033525653,2.666072214,2.25615165,3.699597867,3
9,롯데컬처웍스(주)롯데엔터테인먼트,13086283,3,4362094.333,0.406790353,0,3.105373161,0.406790353,3.105373161,3.512163513,3
12,메가박스중앙(주)플러스엠,29616245,37,800439.0541,0.926643205,1.484617283,0.540151698,2.411260488,2.024768981,2.951412187,4
16,CGV아트하우스,18366237,48,382629.9375,0.57284029,1.964934639,0.239231809,2.537774928,2.204166448,2.777006737,4
54,(주)팝엔터테인먼트,2468995,58,42568.87931,0.072885928,2.401586781,-0.005691368,2.474472708,2.395895413,2.468781341,4
11,한국소니픽쳐스릴리징브에나비스타영화㈜,19202399,9,2133599.889,0.599136854,0.261991285,1.500338049,0.861128139,1.762329335,2.361466188,4
50,(주)박수엔터테인먼트,2900528,54,53713.48148,0.086457263,2.226925924,0.002335342,2.313383187,2.229261266,2.315718529,4
19,판씨네마(주),10461506,41,255158.6829,0.324243411,1.659278139,0.147422812,1.98352155,1.806700952,2.130944362,4
23,아이러브시네마,3004649,1,3004649,0.089731778,-0.087330428,2.127696314,0.002401349,2.040365885,2.130097663,4
57,(주)영화사 빅,2575419,48,53654.5625,0.076232869,1.964934639,0.002292907,2.041167508,1.967227545,2.043460415,4
25,영화사청어람(주),2841795,1,2841795,0.084610162,-0.087330428,2.010403498,-0.002720267,1.92307307,2.007683231,4
44,(주)이수C&E,5983836,41,145947.2195,0.183424604,1.659278139,0.068765119,1.842702744,1.728043258,1.911467862,5
22,주식회사 해리슨앤컴퍼니,4615469,2,2307734.5,0.140390658,-0.043665214,1.625755533,0.096725444,1.582090319,1.722480977,5
21,(주)리틀빅픽쳐스,7323777,33,221932.6364,0.225564577,1.309956426,0.123492319,1.535521003,1.433448745,1.659013322,5
40,(주)나이너스엔터테인먼트,3609164,35,103118.9714,0.108743246,1.397286854,0.037918803,1.5060301,1.435205658,1.543948903,5
10,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12087587,14,863399.0714,0.375382237,0.480317356,0.585497577,0.855699593,1.065814933,1.44119717,5
67,(주)영화사 진진,1279666,32,39989.5625,0.03548257,1.266291212,-0.007549077,1.301773782,1.258742135,1.294224706,5
32,씨너스엔터테인먼트(주),4431642,27,164134.8889,0.13460946,1.047965141,0.081864477,1.182574601,1.129829618,1.264439078,5
45,(주)엣나인필름,2114698,29,72920.62069,0.061743597,1.135295569,0.016168956,1.197039166,1.151464525,1.213208122,5
69,와이드 릴리즈(주),1095473,30,36515.76667,0.029689862,1.178960783,-0.010051019,1.208650645,1.168909764,1.198599626,5
